date,length,pos,neg
2017-11-17,502,0.13968326693227087,0.06363346613545819
2017-11-18,515,0.1805339805825242,0.04330097087378639
2017-11-19,509,0.17327701375245574,0.04442436149312377
2017-11-20,513,0.13055945419103318,0.037477582846003894
2017-11-21,513,0.1312280701754386,0.051847953216374296
2017-11-22,511,0.10642270058708411,0.047307240704500986
2017-11-23,505,0.14215841584158426,0.0484950495049505
2017-11-24,502,0.15312151394422302,0.03716135458167331
2017-11-25,502,0.15751593625498014,0.05153187250996015
2017-11-26,501,0.13400998003992015,0.03929940119760479
2017-11-27,517,0.1398104448742747,0.04081818181818181
2017-11-28,500,0.12302200000000002,0.045171999999999976
2017-11-29,500,0.15184200000000003,0.05258800000000001
2017-11-30,512,0.12401171874999994,0.06708984375000003
2017-12-01,513,0.1519688109161793,0.06938596491228069
2017-12-02,507,0.11816962524654838,0.048619329388560145
2017-12-03,500,0.1425300000000001,0.04777199999999997
2017-12-04,513,0.12795906432748538,0.04563742690058478
2017-12-05,500,0.14000200000000002,0.07244799999999998
2017-12-06,500,0.15367200000000014,0.06635600000000001
2017-12-07,500,0.12160799999999998,0.08861400000000001
2017-12-08,507,0.12696252465483243,0.07148915187376727
2017-12-09,514,0.1442743190661479,0.07991050583657595
2017-12-10,507,0.1103254437869823,0.06604536489151873
2017-12-11,500,0.09797799999999997,0.041866000000000014
2017-12-12,500,0.13727200000000006,0.06994599999999998
2017-12-13,517,0.11998839458413926,0.06284526112185694
2017-12-14,508,0.11793897637795275,0.07410826771653543
2017-12-15,507,0.13403747534516763,0.07183826429980278
2017-12-16,519,0.16889017341040458,0.06989402697495184
2017-12-17,511,0.1602876712328767,0.0727045009784736
2017-12-18,505,0.13825544554455446,0.04336237623762378
2017-12-19,506,0.14855928853754952,0.05981818181818178
2017-12-20,512,0.10224414062500002,0.07255468750000005
2017-12-21,517,0.16622823984526125,0.0729439071566731
2017-12-22,518,0.1287084942084943,0.08140540540540535
2017-12-23,500,0.14396399999999995,0.06764600000000001
2017-12-24,500,0.15878,0.07514399999999999
2017-12-25,516,0.18126744186046492,0.0446259689922481
2017-12-26,512,0.109056640625,0.0681015625
2017-12-27,506,0.13566798418972334,0.06682411067193672
2017-12-28,518,0.10544401544401545,0.08101544401544397
2017-12-29,509,0.16450098231827112,0.05442043222003926
2017-12-30,504,0.14521031746031743,0.06132738095238093
2017-12-31,503,0.14202186878727635,0.05220874751491051
2018-01-01,509,0.1580550098231826,0.06162475442043225
2018-01-02,510,0.12045882352941178,0.04856470588235297
2018-01-03,513,0.16710916179337232,0.05312280701754386
2018-01-04,516,0.1320581395348838,0.050065891472868225
2018-01-05,517,0.14099226305609278,0.06192649903288203
2018-01-06,846,0.17968321513002383,0.062197399527186795
2018-01-07,500,0.13545800000000005,0.05245000000000001
2018-01-08,512,0.14153906249999992,0.05776367187499999
2018-01-09,502,0.15790438247011934,0.07936055776892431
2018-01-10,518,0.12204826254826251,0.06623938223938224
2018-01-11,504,0.12190079365079366,0.0930952380952381
2018-01-12,514,0.15061673151750973,0.06932295719844359
2018-01-13,504,0.15994047619047613,0.06099801587301589
2018-01-14,506,0.14973715415019773,0.05290316205533597
2018-01-15,509,0.12971512770137528,0.04967976424361493
2018-01-16,500,0.14877400000000013,0.071204
2018-01-17,504,0.13238095238095235,0.07630555555555553
2018-01-18,516,0.13922286821705418,0.053368217054263554
2018-01-19,509,0.12871512770137525,0.047563850687622804
2018-01-20,513,0.1409668615984406,0.06258479532163744
2018-01-21,515,0.16320000000000015,0.06199223300970875
2018-01-22,509,0.12379567779960711,0.05104518664047151
2018-01-23,517,0.13248355899419725,0.04729013539651836
2018-01-24,500,0.1525880000000001,0.05693199999999999
2018-01-25,517,0.14317021276595746,0.06150483558994195
2018-01-26,512,0.14234375000000005,0.04619140625000002
2018-01-27,500,0.12212000000000003,0.073934
2018-01-28,517,0.14591876208897492,0.056558994197292024
2018-01-29,501,0.16301996007984038,0.06289021956087823
2018-01-30,501,0.15827145708582815,0.05453892215568863
2018-01-31,514,0.11367898832684824,0.06781128404669261
2018-02-01,517,0.1654158607350096,0.0782533849129594
2018-02-02,503,0.12967196819085494,0.08747912524850897
2018-02-03,511,0.12676908023483366,0.0764598825831703
2018-02-04,510,0.1422803921568627,0.07642549019607839
2018-02-05,518,0.14092084942084954,0.056200772200772194
2018-02-06,519,0.10896917148362234,0.08951252408477842
2018-02-07,501,0.1496187624750499,0.05448902195608781
2018-02-08,510,0.13742156862745106,0.049358823529411754
2018-02-09,516,0.12235658914728681,0.06137984496124032
2018-02-10,501,0.14271856287425144,0.05483832335329341
2018-02-11,512,0.145056640625,0.04785351562499999
2018-02-12,511,0.10968297455968684,0.03937964774951074
2018-02-13,500,0.123486,0.052233999999999996
2018-02-14,500,0.12974399999999991,0.051005999999999954
2018-02-15,515,0.1229825242718448,0.05572621359223298
2018-02-16,514,0.1464143968871595,0.06323735408560312
2018-02-17,516,0.16681589147286824,0.04408139534883722
2018-02-18,507,0.15810256410256404,0.043268244575936886
2018-02-19,507,0.12040236686390535,0.0743767258382643
2018-02-20,517,0.1399806576402322,0.053317214700193426
2018-02-21,510,0.15279411764705877,0.050849019607843146
2018-02-22,503,0.13795427435387675,0.040493041749502995
2018-02-23,508,0.14507874015748037,0.04546062992125984
2018-02-24,501,0.1425049900199601,0.056473053892215554
2018-02-25,502,0.1316693227091634,0.04651792828685259
2018-02-26,506,0.1569031620553359,0.05874901185770745
2018-02-27,518,0.1628166023166025,0.057990347490347476
2018-02-28,503,0.12774155069582496,0.041572564612326016
2018-03-01,517,0.12328046421663447,0.053493230174081245
2018-03-02,504,0.15272222222222223,0.052003968253968254
2018-03-03,513,0.12899610136452236,0.05328849902534111
2018-03-04,504,0.14782539682539675,0.0468690476190476
2018-03-05,511,0.12384148727984348,0.038602739726027395
2018-03-06,517,0.13558607350096719,0.057396518375241776
2018-03-07,517,0.14080657640232114,0.05135203094777565
2018-03-08,513,0.17264132553606226,0.08212475633528261
2018-03-09,514,0.17525486381322955,0.046622568093385205
2018-03-10,515,0.13986019417475726,0.05665436893203883
2018-03-11,518,0.15662548262548265,0.06038803088803087
2018-03-12,510,0.13531176470588233,0.042915686274509784
2018-03-13,510,0.14852745098039216,0.038301960784313714
2018-03-14,502,0.08934063745019924,0.03238247011952192
2018-03-15,511,0.1521859099804306,0.05740117416829747
2018-03-16,515,0.15576893203883488,0.04360582524271843
2018-03-17,501,0.13990019960079841,0.05080239520958081
2018-03-18,508,0.1505885826771654,0.05064566929133859
2018-03-19,518,0.1287220077220077,0.046474903474903496
2018-03-20,509,0.14145776031434187,0.06844597249508842
2018-03-21,505,0.15689504950495034,0.057900990099009925
2018-03-22,508,0.15665157480314962,0.044037401574803146
2018-03-23,518,0.10582818532818536,0.06100193050193048
2018-03-24,505,0.15034257425742573,0.03905940594059403
2018-03-25,507,0.14826232741617365,0.030311637080867832
2018-03-26,510,0.12633921568627443,0.03946078431372547
2018-03-27,516,0.1345232558139536,0.05933527131782943
2018-03-28,519,0.1472312138728322,0.04304431599229287
2018-03-29,514,0.16294941634241256,0.06744357976653696
2018-03-30,504,0.1221825396825397,0.0530456349206349
2018-03-31,510,0.14425490196078428,0.04908431372549019
2018-04-01,517,0.1537485493230174,0.05604642166344296
2018-04-02,512,0.1340703125,0.04971484375000002
2018-04-03,506,0.16688339920948625,0.05072727272727274
2018-04-04,511,0.14427201565557735,0.04052054794520547
2018-04-05,511,0.1426242661448142,0.05873385518590997
2018-04-06,505,0.12195247524752481,0.05442376237623764
2018-04-07,516,0.12076550387596902,0.06333914728682163
2018-04-08,515,0.1384582524271845,0.06474563106796119
2018-04-09,519,0.10155684007707128,0.05098651252408475
2018-04-10,501,0.1268962075848304,0.06918962075848302
2018-04-11,516,0.11962596899224813,0.04385852713178293
2018-04-12,510,0.16673529411764704,0.07497647058823531
2018-04-13,519,0.15821772639691706,0.06243159922928711
2018-04-14,504,0.12278968253968256,0.0557063492063492
2018-04-15,517,0.14587620889748534,0.06870793036750482
2018-04-16,505,0.12623168316831693,0.04064158415841585
2018-04-17,500,0.136892,0.04566400000000001
2018-04-18,517,0.13295938104448757,0.051880077369439094
2018-04-19,507,0.10667061143984223,0.05036686390532546
2018-04-20,502,0.11257569721115541,0.03711155378486056
2018-04-21,517,0.15846808510638308,0.055241779497098666
2018-04-22,516,0.13843023255813952,0.05218410852713178
2018-04-23,507,0.12686193293885603,0.06069033530571994
2018-04-24,511,0.11795890410958904,0.056939334637964786
2018-04-25,506,0.1517233201581027,0.059416996047430844
2018-04-26,506,0.12633003952569177,0.05964229249011859
2018-04-27,518,0.13627799227799234,0.0601119691119691
2018-04-28,517,0.15204061895551244,0.05251257253384912
2018-04-29,515,0.1454621359223301,0.04624466019417477
2018-04-30,504,0.13452579365079367,0.04641865079365081
2018-05-01,512,0.14603515625000021,0.06331445312500002
2018-05-02,514,0.14953696498054492,0.04631712062256811
2018-05-03,506,0.15066600790513843,0.049341897233201586
2018-05-04,504,0.15183531746031748,0.05043055555555557
2018-05-05,508,0.13964566929133865,0.0729527559055118
